ක,க
ඛ,க
ග,க
ඝ,க
ඞ,ங
ඟ,
ච,ச
ඡ,
ජ,
ඣ,
ඤ,ஞ
ඦ,
ට,ட
ඨ,
ඩ,
ඪ,
ණ,ண
ඬ,
ත,த
ථ,
ද,
ධ,
න,ந
ඳ,
ප,ப
ඵ,
බ,
භ,
ම,ம
ඹ,
ය,ய
ර,ர
ල,ல
ව,வ
ශ,
ෂ,
ස,
හ,க்
ළ,ழ்
ෆ,
