PID,SID,OID,LLO,LCO,NAME_SI,NAME_TA,NAME_EN,Old Code
56,56,1594,1-2-24-280,280,යක්කල උතුර,யக்க‍லை வடக்கு,Yakkala North,231
56,57,1595,1-2-24-285,285,ගල්තොටමුල්ල,கல்தொடமுல்ல,Galthotamulla,230C
56,58,1596,1-2-24-290,290,යක්කල බටහිර,யக்க‍லை மேற்கு,Yakkala West,231A
56,59,1597,1-2-24-295,295,පැපොල්ගහදෙනිය,பெப்பொல்கஹதெனிய,Pepolgahadeniya,231B
56,60,1598,1-2-24-300,300,යක්කල නැගෙනහිර,யக்க‍லை கிழக்கு,Yakkala East,231D
56,61,1599,1-2-24-305,305,යක්කල දකුණ,யக்க‍லை தெற்கு,Yakkala South,231C
56,62,1600,1-2-24-310,310,හෙනරත්ගොඩ,ஹெனரத்கொட,Henarathgoda,232
56,63,1601,1-2-24-315,315,මුදුන්ගොඩ බටහිර,முதுன்கொடை மேற்கு,Mudungoda West,232D
56,64,1602,1-2-24-320,320,මොරගොඩ 2,மொராகொடை 2,Moragoda 2,233A
56,65,1603,1-2-24-325,325,ඉහළ යාගොඩ උතුර,இஹல யாகொடை வடக்கு,Ihala Yagoda North,235B
56,66,1604,1-2-24-330,330,මාහේන,மா‍ஹேன,Mahena,236A
56,67,1605,1-2-24-335,335,ගණේමුල්ල දකුණ,க‍னேமுல்ல தெற்கு,Ganemulla South,236D
56,68,1606,1-2-24-340,340,ගණේමුල්ල උතුර,க‍னேமுல்ல வடக்கு,Ganemulla North,236B
56,69,1607,1-2-24-345,345,ගලහිටියාව නැගෙනහිර,கலஹிட்டியாவ கிழக்கு,Galahitiyawa East,215B
56,70,1608,1-2-24-350,350,ගලහිටියාව දකුණ,கலஹிட்டியாவ தெற்கு,Galahitiyawa South,215A
56,71,1609,1-2-24-355,355,කොස්සින්න නැගෙනහිර,கொஸ்சின்ன கிழக்கு,Kossinna East,237
56,72,1610,1-2-24-360,360,අමුණුගොඩ උතුර,அமுணுகொடை வடக்கு,Amunugoda North,238
56,73,1611,1-2-24-365,365,ඉහළ යාගොඩ දකුණ,இஹல யாகொடை தெற்கு,Ihala Yagoda South,235C
56,74,1612,1-2-24-370,370,මුදුන්ගොඩ දකුණ,முதுன்கொடை தெற்கு,Mudungoda South,232C
56,75,1613,1-2-24-375,375,මුදුන්ගොඩ උතුර,முதுன்கொடை வடக்கு,Mudungoda North,232B
56,76,1614,1-2-24-380,380,ගොඩගෙදර,கொடகெதர,Godagedara,232A
56,77,1615,1-2-24-385,385,රතුපස්වල,ரதுபஸ்வல,Rathupaswala,239A
56,78,1616,1-2-24-390,390,ගල්ලොලුව,கல்லொலுவ,Galloluwa,239B
56,79,1617,1-2-24-395,395,බැලුම්මහර,பெலும்மஹர,Belummahara,239
56,80,1618,1-2-24-400,400,ඉහළ ඉඹුල්ගොඩ උතුර,இஹல இபுல்கொடை வடக்கு,Ihala Imbulgoda North,240
56,81,1619,1-2-24-405,405,ඉහළ ඉඹුල්ගොඩ දකුණ,இஹல இம்புல்கொடை தெற்கு,Ihala Imbulgoda South,240A
56,82,1620,1-2-24-410,410,පහළ ඉඹුල්ගොඩ දකුණ,பஹல இபுல்கொடை தெற்கு,Pahala Imbulgoda South,243B
56,83,1621,1-2-24-415,415,පහළ ඉඹුල්ගොඩ බටහිර,பஹல இம்புல்கொட மேற்கு,Pahala Imbulgoda West,243A
56,84,1622,1-2-24-420,420,අමුණුගොඩ දකුණ,அமுணுகொடை தெற்கு,Amunugoda South,238A
56,85,1623,1-2-24-425,425,පරකන්දෙනිය උතුර 1,பரகந்தெனிய வடக்கு1,Parakandeniya North1,244A
56,86,1624,1-2-24-430,430,කොස්සින්න බටහිර 1,கொஸ்சின்ன மேற்கு1,Kossinna West1,237A
56,87,1625,1-2-24-435,435,කටුවාලමුල්ල උතුර,கடுவலமுல்ல வடக்கு,Katuwalamulla North,244C
56,88,1626,1-2-24-440,440,කොස්සින්න බටහිර 2,கொஸ்சின்ன மேற்கு2,Kossinna West2,237B
56,89,1627,1-2-24-445,445,කටුවාලමුල්ල දකුණ,கடுவாலமுல்ல தெற்கு,Katuwalamulla South,244D
56,90,1628,1-2-24-450,450,පරකන්දෙනිය උතුර 2,பரகந்தெனிய வடக்கு2,Parakandeniya North2,244B
56,91,1629,1-2-24-455,455,පරකන්දෙනිය දකුණ,பரகந்தெனிய,Parakandeniya South,244
56,92,1630,1-2-24-460,460,පහළ ඉඹුල්ගොඩ නැගෙනහිර,பஹல இபுல்கொடை கிழக்கு,Pahala Imbulgoda East,243
56,93,1631,1-2-24-465,465,ඇඹරළුව උතුර 2,எம்பரலுவ வடக்கு 2,Embaraluwa North 2,242A
56,94,1632,1-2-24-470,470,ඇඹරළුව උතුර 1,எம்பரலுவ வடக்கு 1,Embaraluwa North 1,242
56,95,1633,1-2-24-475,475,වැලිවේරිය බටහිර,வெலி‍வேரிய மேற்கு,Weliweriya West,240B
56,96,1634,1-2-24-480,480,නැදුන්ගමුව,நெதுன்கமுவ,Nedungamuwa,241
56,97,1635,1-2-24-485,485,වැලිවේරිය නැගෙනහිර,வெலி‍வேரிய கிழக்கு,Weliweriya East,241A
56,98,1636,1-2-24-490,490,වැලිවේරිය උතුර,வெலி‍வேரிய வடக்கு,Weliweriya North,241B
56,99,1637,1-2-24-495,495,වැලිවේරිය දකුණ,வெலி‍வேரிய தெற்கு,Weliweriya South,241C
56,100,1638,1-2-24-500,500,ඇඹරළුව දකුණ 1,எபரெலுவ தெற்கு 1,Embaraluwa South1,242B
56,101,1639,1-2-24-505,505,ඇඹරළුව දකුණ 2,எபரெலுவ தெற்கு 2,Embaraluwa South 2,242C
57,1,1640,1-2-27-005,005,එළුවපිටිය බටහිර,எலுவபிட்டிய ‍மேற்கு,Eluwapitiya West,333/A
57,2,1641,1-2-27-010,010,එළුවපිටිය,எலுவபிட்டிய,Eluwapitiya,333
57,3,1642,1-2-27-015,015,හිරිපිටිය බටහිර,ஹிரிபிட்டிய மேற்கு,Hiripitiya West,329D
57,4,1643,1-2-27-020,020,හිරිපිටිය උතුර,ஹிரிபிட்டிய வடக்கு,Hiripitiya North,329
57,5,1644,1-2-27-025,025,හිරිපිටිය මධ්‍යම,மத்திய ஹிரிபிட்டிய,Hiripitiya Central,329C
57,6,1645,1-2-27-030,030,හිරිපිටිය නැගෙනහිර,ஹிரிபிட்டிய கிழக்கு,Hiripitiya East,329B
57,7,1646,1-2-27-035,035,තල්ගස්මොටේ බටහිර,தல்கஸ்மொ‍தே மேற்கு,Thalgasmote West,328/E
57,8,1647,1-2-27-040,040,තල්ගස්මොටේ,தல்கஸ்மொ‍டே,Thalgasmote,328A
57,9,1648,1-2-27-045,045,තල්ගස්මොටේ නැගෙනහිර,தல்கஸ்மொ‍டே கிழக்கு,Thalgasmote East,328/D
57,10,1649,1-2-27-050,050,උදම්මිට,உதம்மிட்டே,Udammita,347
57,11,1650,1-2-27-055,055,හුඹුටියාව බටහිර,ஹும்புட்டியாவ மேற்கு,Humbutiyawa West,347C
57,12,1651,1-2-27-060,060,හුඹුටියාව,ஹும்புட்டியாவ,Humbutiyawa,347A
57,13,1652,1-2-27-065,065,පරණ වේයන්ගොඩ,பழைய வெயங்கொட,Parana Veyangoda,346
57,14,1653,1-2-27-070,070,කෝන්ගස්දෙනිය,‍‍கோங்கஸ்தெனிய,Kongasdeniya,346A
57,15,1654,1-2-27-075,075,වෙදගම,வெதகம,Wedagama,343/A
57,16,1655,1-2-27-080,080,කලල්පිටිය,கலல்பிட்டிய,Kalalpitiya,343
57,17,1656,1-2-27-085,085,නවගමුව,நவகமுவ,Nawagamuwa,343B
57,18,1657,1-2-27-090,090,නාපගොඩ,நாப்பகொட,Napagoda,345
57,19,1658,1-2-27-095,095,නිට්ටඹුව දකුණ,நிட்டம்புவ தெற்கு,Nittambuwa South,348A
57,20,1659,1-2-27-100,100,නිට්ටඹුව උතුර,நிட்டம்புவ வடக்கு,Nittambuwa North,348
57,21,1660,1-2-27-105,105,නිට්ටඹුව නැගෙනහිර,நிட்டம்புவ கிழக்கு,Nittambuwa East,348/F
57,22,1661,1-2-27-110,110,කොලවත්ත,‍‍கோலவத்த,Kolawatta,347B
57,23,1662,1-2-27-115,115,පත්තලගෙදර නැගෙනහිර,பத்தலகெதர கிழக்கு,Pattalagedara East,328/B
57,24,1663,1-2-27-120,120,පත්තලගෙදර,பத்தலகெதர,Pattalagedara,328
57,25,1664,1-2-27-125,125,හිරිපිටිය දකුණ,ஹிரிபிட்டிய தெற்கு,Hiripitiya South,329A
57,26,1665,1-2-27-130,130,වටද්දර,வடத்தார,Wataddara,332
57,27,1666,1-2-27-135,135,වටද්දර බටහිර,வடத்தார ‍மேற்கு,Wataddara West,332/B
57,28,1667,1-2-27-140,140,මගලෙගොඩ,மக‍லேகொட,Magalegoda,331
57,29,1668,1-2-27-145,145,මගලෙගොඩ දකුණ,மாக‍லேகொட தெற்கு,Magalegoda South,331A
57,30,1669,1-2-27-150,150,හීන්දෙනිය,ஹீன்தெனிய,Heendeniya,330A
57,31,1670,1-2-27-155,155,පට්ටිගොඩ,பட்டிகொட,Pattigoda,330
57,32,1671,1-2-27-160,160,වටද්දර දකුණ,வடத்தர தெற்கு,Wataddara South,332/A
57,33,1672,1-2-27-165,165,පහළ හිරිපිටිය,பஹல ஹிரிபிட்டிய,Pahala Hiripitiya,329/E
57,34,1673,1-2-27-170,170,දන්විලාන,தன்விலான,Danvilana,328C
57,35,1674,1-2-27-175,175,දඩගමුව නැගෙනහිර,தடகமுவ கிழக்கு,Dadagamuwa East,327A
57,36,1675,1-2-27-180,180,පින්නගොල්ල,பிண்ணகொல்ல,Pinnagolla,348/I
57,37,1676,1-2-27-185,185,එගොඩ නිට්ටඹුව,எகொட நிட்டம்புவ,Egoda Nittambuwa,348/C
57,38,1677,1-2-27-190,190,හොරගොල්ලගම,ஹொரகொல்லகம,Horagollagama,348H
57,39,1678,1-2-27-195,195,නම්බාදළුව බටහිර,நம்பதலுவ மேற்கு,Nambadaluwa West,348/B
57,40,1679,1-2-27-200,200,නම්බාදළුව නැගෙනහිර,நம்பதலுவ கிழக்கு,Nambabaluwa East,348/G
57,41,1680,1-2-27-205,205,රන්පොකුණගම ඒ කලාපය,ரன்பொகுணகம ஏ வலயம்,Ranpokunagama A Zone,349A
57,42,1681,1-2-27-210,210,එල්ලක්කල බටහිර,எல்லக்கல மேற்கு,Ellakkala West,355/A
57,43,1682,1-2-27-215,215,මාඉඹුල,மாஇம்புல,Maimbula,350B
57,44,1683,1-2-27-220,220,රන්පොකුණගම ඊ කලාපය,ரன்பொகுணகம E வலயம்,Ranpokunagama E Zone,349F
57,45,1684,1-2-27-225,225,රන්පොකුණගම ඩී කලාපය,ரன்பொகுணகம D வலயம்,Ranpokunagama D Zone,349E
57,46,1685,1-2-27-230,230,රන්පොකුණගම සී කලාපය,ரன்பொகுணகம C வலயம்,Ranpokunagama C Zone,349D
57,47,1686,1-2-27-235,235,රන්පොකුණගම බී කලාපය,ரன்பொகுணகம B வலயம்,Ranpokunagama B Zone,349C
57,48,1687,1-2-27-240,240,මඩුවෙගෙදර,மடுவெகெதர,Maduwegedara,349
57,49,1688,1-2-27-245,245,යටියන,யடியன,Yatiyana,349/B
57,50,1689,1-2-27-250,250,ඕර්චඩ්වත්ත,ஓர்சாட்வத்தை,Orchardwatta,348/D
57,51,1690,1-2-27-255,255,මල්වත්ත,மல்வத்தை,Malwatta,348/E
57,52,1691,1-2-27-260,260,තිහාරිය උතුර,திஹாரிய வடக்கு,Thihariya North,318/C
57,53,1692,1-2-27-265,265,කටුවස්ගොඩ බටහිර,கட்டுவஸ்கொட மேற்கு,Katuwasgoda west,321B
57,54,1693,1-2-27-270,270,කටුවස්ගොඩ,கடுவஸ்கொட,Katuwasgoda,321A
57,55,1694,1-2-27-275,275,දඩගමුව,தடகமுவ,Dadagamuwa,327
57,56,1695,1-2-27-280,280,මුඩගමුව,முடகமுவ,Mudagamuwa,324A
57,57,1696,1-2-27-285,285,බණ්ඩාරබටවල,பண்டாரபடவல,Bandarabatawala,325A
57,58,1697,1-2-27-290,290,පිටියෙගෙදර,பிடியேகெதர,Pitiyegedara,325
57,59,1698,1-2-27-295,295,දාරළුව,தாரலுவ,Daraluwa,325B
57,60,1699,1-2-27-300,300,බෙම්මුල්ල,பெம்முல்ல,Bemmulla,324
57,61,1700,1-2-27-305,305,කන්දඔළුවැව,கந்தஒலுவாவ,Kandaoluwawa,326
57,62,1701,1-2-27-310,310,රනිස්වල,ரனிஸ்வல,Raniswala,323
57,63,1702,1-2-27-315,315,සපුගස්තැන්න,சப்புகஸ்தென்ன,Sapugasthenna,323A
57,64,1703,1-2-27-320,320,තිරිවානගම දකුණ,திரிவானகம தெற்கு,Thiriwanegama South,322/B
57,65,1704,1-2-27-325,325,තිරිවානගම උතුර,திரிவானகம வடக்கு,Thiriwanegama North,322A
57,66,1705,1-2-27-330,330,හලගම්පිටිය,கல்கம்பிட்டிய,Halgampitiya,322
57,67,1706,1-2-27-335,335,කලගෙඩිහේන,களகெடி‍ஹேண,Kalagedihena,321
57,68,1707,1-2-27-340,340,තිහාරියගම,திஹாரியகம,Thihariyagama,318/D
