PID,SID,OID,LLO,LCO,NAME_SI,NAME_TA,NAME_EN,Old Code
38,13,461,1-1-09-065,065,තලාහේන උතුර,தலஹேண வடக்கு,Thalahena North,478
38,14,462,1-1-09-070,070,මාළ‍‍ෙඔ උතුර,மால‍பே வடக்கு,Malabe North,476B
38,15,463,1-1-09-075,075,තුන්අදහේන,துணடஹேண,Thunadahena,488B
38,16,464,1-1-09-080,080,කොරතොට,கொரதொட்ட,Korathota,488
38,17,465,1-1-09-085,085,නවගමුව දකුණ,நவகமுவ தெற்கு,Nawagamuwa South,470A
38,18,466,1-1-09-090,090,බටේ‍වෙල,ப‍‍ட்டேவெல,Batewela,480C
38,19,467,1-1-09-095,095,රණාල,ரணால,Ranala,469
38,20,468,1-1-09-100,100,දැඩිගමුව,தெடிகமுவ,Dedigamuwa,480A
38,21,469,1-1-09-105,105,ඇඔල්ලදෙණිය,எம்பில்லாதெணிய,Embilladeniya,480B
38,22,470,1-1-09-110,110,වැලිපිල්ලැව,வெலிபில்‍லேவ,Welipillewa,480
38,23,471,1-1-09-115,115,ශාන්තාලෝකගම,சாந்தா‍லோககம,Shanthalokagama,487A
38,24,472,1-1-09-120,120,පෝරේ,‍‍‍‍‍‍‍போ‍ரே,Pore,489
38,25,473,1-1-09-125,125,මාලබේ නැගෙනහිර,மால‍‍‍பே கிழக்கு,Malabe East,476
38,26,474,1-1-09-130,130,මාල‍බේ බටහිර,மால‍‍‍பே ‍மேற்கு,Malabe West,476A
38,27,475,1-1-09-135,135,තලංගම උතුර බී,தலங்கம வடக்கு B,Thalangama North B,477A
38,28,476,1-1-09-140,140,තලාහේන දකුණ,தலா‍ஹேண வடக்கு,Thalahena South,478A
38,29,477,1-1-09-145,145,මුත්තෙට්ටුගොඩ,முத்தெடுகொட,Muttettugoda,477B
38,30,478,1-1-09-150,150,තලංගම උතුර ඒ,தலங்கம வடக்கு A,Thalangama North A,477
38,31,479,1-1-09-155,155,වල්පොල,வல்பொல,Walpola,491A
38,32,480,1-1-09-160,160,කළපලුවාව,கலபாலுவெவ,Kalapaluwawa,491
38,33,481,1-1-09-165,165,කොටුවේගොඩ,கொட்டு‍வேகொட,Kotuwegoda,491B
38,34,482,1-1-09-170,170,සුභූතිපුර,சு‍பூதிபுர,Subhoothipura,492
38,35,483,1-1-09-175,175,උඩුමුල්ල,உடுமுல்ல,Udumulla,492C
38,36,484,1-1-09-180,180,බත්තරමුල්ල උතුර,பத்தரமுல்ல வடக்கு,Battaramulla North,492B
38,37,485,1-1-09-185,185,බටපොත,பட்டபொத,Batapotha,479E
38,38,486,1-1-09-190,190,පොතුඅරාව,பொதுஅராவ,Pothuarawa,477C
38,39,487,1-1-09-195,195,හෝකන්දර උතුර,‍‍‍‍‍‍ஹோகந்தர வடக்கு,Hokandara North,494
38,40,488,1-1-09-200,200,ඔරුවල,ஒருவல,Oruwala,487
38,41,489,1-1-09-205,205,අතුරුගිරිය,அத்துருகிரிய,Athurugiriya,490
38,42,490,1-1-09-210,210,තල්දියවල,தல்டியவல,Thaldiyawala,490B
38,43,491,1-1-09-215,215,බොරලුගොඩ,பொரலுகொட,Boralugoda,489A
38,44,492,1-1-09-220,220,හෝකන්දර නැගෙනහිර,‍‍‍ஹோகந்தர கிழக்கு,Hokandara East,494A
38,45,493,1-1-09-225,225,අරංගල,அரங்கல,Arangala,494B
38,46,494,1-1-09-230,230,ඇවරිහේන,எவரி‍ஹேண,Evarihena,495A
38,47,495,1-1-09-235,235,කුමාරගේ වත්ත,குமார‍கேவத்த,Kumaragewatta,479D
38,48,496,1-1-09-240,240,ජයවඩනගම,ஜெயவர்த்தன கம,Jayawadanagama,479
38,49,497,1-1-09-245,245,අරුප්පිටිය,அருப்பிட்டிய,Aruppitiya,479F
38,50,498,1-1-09-250,250,ආසිරි උයන,ஆசிரிஉயண,Asiri Uyana,479B
38,51,499,1-1-09-255,255,බත්තරමුල්ල දකුණ,பத்தரமுல்ல தெற்கு,Battaramulla South,492A
38,52,500,1-1-09-260,260,රජමල්වත්ත,இரஜமல்வத்த,Rajamalwatta,492D
38,53,501,1-1-09-265,265,පහළවෙල,பஹலவெல,Pahalawela,479A
38,54,502,1-1-09-270,270,වික්‍රමසිංහපුර,விக்கிரமசிங்கபுர,Wickramasinghapura,479C
38,55,503,1-1-09-275,275,වැල්ලන්ගිරිය,வெல்லங்கிரிய,Wellangiriya,495
38,56,504,1-1-09-280,280,හෝකන්දර දකුණ,‍‍‍ஹோகந்தர தெற்கு,Hokandara South,494C
38,57,505,1-1-09-285,285,අතුරුගිරියදකුණ,அத்துருகிரிய தெற்கு,Athurugiriya South,490A
39,1,506,1-1-12-005,005,ජල්තර,ஜல்தர,Jalthara,449
39,2,507,1-1-12-010,010,හේන්පිට,‍‍ஹேண்பிட்ட,Henpita,451
39,3,508,1-1-12-015,015,ආටිගල බටහිර,அடிகல ‍மேற்கு,Atigala West,446A
39,4,509,1-1-12-020,020,ආටිගල නැගෙනහිර,அடிகல கிழக்கு,Atigala East,446
39,5,510,1-1-12-025,025,බටවල,பட்டவல,Batawala,450
39,6,511,1-1-12-030,030,වල්පිට,வல்பிட்ட,Walpita,450A
39,7,512,1-1-12-035,035,නාවලමුල්ල,நாவலமுல்ல,Nawalamulla,482D
39,8,513,1-1-12-040,040,මීගස්මුල්ල,மீகஸ்முல்ல,Meegasmulla,482E
39,9,514,1-1-12-045,045,හබරකඩ උතුර,ஹபரகட வடக்கு,Habarakada North,481
39,10,515,1-1-12-050,050,මුල්ලේගම උතුර,முல்‍லேகம வடக்கு,Mullegama North,481D
39,11,516,1-1-12-055,055,මුල්ලේගම දකුණ,முல்‍லேகம தெற்கு,Mullegama South,481A
39,12,517,1-1-12-060,060,හබරකඩ දකුණ,ஹபரகட தெற்கு,Habarakada South,481B
39,13,518,1-1-12-065,065,පනාගොඩ නගරය,பலாங்கொடை நகரம்,Panagoda Town,482B
39,14,519,1-1-12-070,070,හේනවත්ත,‍ஹேனவத்த,Henawatta,482C
39,15,520,1-1-12-075,075,මිගොඩ උතුර,மீகெகொடை வடக்கு,Meegoda North,447
39,16,521,1-1-12-080,080,පානලුව,பனலுவ,Panaluwa,447B
39,17,522,1-1-12-085,085,වටරැක උතුර,வட்ட‍ரேகா வடக்கு,Watareka North,448B
39,18,523,1-1-12-090,090,මීගොඩ දකුණ,மீகொடை தெற்கு,Meegoda South,447A
39,19,524,1-1-12-095,095,ගොඩගම උතුර,கொடகம வடக்கு,Godagama North,483
39,20,525,1-1-12-100,100,පනාගොඩ බටහිර,பனாகொடை ‍மேற்கு,Panagoda West,482
39,21,526,1-1-12-105,105,පනාගොඩ නැගෙනහිර,பனாகொடை கிழக்கு,Panagoda East,482A
39,22,527,1-1-12-110,110,හබරකඩ වත්ත,ஹபரகட வத்த,Habarakada Watta,481C
39,23,528,1-1-12-115,115,හෝමාගම උතුර,‍‍ஹோமாகம வடக்கு,Homagama North,486
39,24,529,1-1-12-120,120,හෝමාගම බස්නාහිර,‍‍ஹோமாகம ‍மேற்கு,Homagama West,486B
39,25,530,1-1-12-125,125,හෝමාගම දකුණ,‍‍ஹோமாகம தெற்கு,Homagama South,486F
39,26,531,1-1-12-130,130,ගලවිලවත්ත උතුර,கலவிலவத்த வடக்கு,Galavilawatta North,486C
39,27,532,1-1-12-135,135,හෝමාගම නගරය,‍‍ஹோமாகம நகரம்,Homagama Town,486A
39,28,533,1-1-12-140,140,හෝමාගම නැගෙනහිර,‍‍ஹோமாகம கிழக்கு,Homagama East,486D
39,29,534,1-1-12-145,145,පිටිපන නගරය,பிட்டிபன நகரம்,Pitipana Town,484B
39,30,535,1-1-12-150,150,ගොඩගම දකුණ,கொடகம தெற்கு,Godagama South,483A
39,31,536,1-1-12-155,155,කුරුදුවත්ත,குருந்துவத்த,Kurunduwatta,448C
39,32,537,1-1-12-160,160,ගැහැනුවල,கெஹெணுவல,Gehenuwala,447C
39,33,538,1-1-12-165,165,වටරැක දකුණ,வட்ட‍ரேகா தெற்கு,Watareka South,448
39,34,539,1-1-12-170,170,ඕවිටිගම,ஓட்டிகம,Ovitigama,448A
39,35,540,1-1-12-175,175,කඳනවත්ත,கந்தானவத்த,Kandhanawatta,484D
39,36,541,1-1-12-180,180,කිරිබෙරියකැළේ,கிரிபெரியகெ‍லே,Kiriberiyakele,484F
39,37,542,1-1-12-185,185,මාවතගම,மாவத்தகம,Mawathagama,485
39,38,543,1-1-12-190,190,කටුවාන,கட்டுவான,Katuwana,486E
39,39,544,1-1-12-195,195,ගලවිලවත්ත දකුණ,கலவிலவத்த தெற்கு,Galavilawatta South,486G
39,40,545,1-1-12-200,200,නියඳගල,நியாந்தகல,Niyadagala,499A
39,41,546,1-1-12-205,205,හිරිපිටිය,ஹிரிபிட்டிய,Hiripitiya,499G
39,42,547,1-1-12-210,210,මාම්බුල්ගොඩ,மாம்புல்கொட,Mambulgoda,500A
39,43,548,1-1-12-215,215,කිතලුහේන,கித்துல்‍ஹேன,Kithulhena,591C
39,44,549,1-1-12-220,220,සිද්ධමුල්ල උතුර,சித்தேமுல்ல வடக்கு,Siddamulla North,591
39,45,550,1-1-12-225,225,සිද්ධමුල්ල දකුණ,சித்தமுல்ல தெற்கு,Siddamulla South,591B
39,46,551,1-1-12-230,230,මත්තේගොඩ බටහිර,மத்‍தேகொட ‍மேற்கு,Mattegoda West,587
39,47,552,1-1-12-235,235,මත්තේගොඩ මධ්‍යම ඒ,மத்திய மத்‍தேகொட A,Mattegoda Central A,587A
39,48,553,1-1-12-240,240,මත්තේගොඩ නැගෙනහිර,மத்‍தேகொட கிழக்கு,Mattegoda East,587C
39,49,554,1-1-12-245,245,බ්‍රහ්මණගම,பிரமணாகம,Brahmanagama,500
39,50,555,1-1-12-250,250,ධිපාන්ගොඩ,தீபங்கொட,Deepangoda,590B
39,51,556,1-1-12-255,255,මාගම්මන බටහිර,மாகம்மண ‍மேற்கு,Magammana West,590A
39,52,557,1-1-12-260,260,මාගම්මන නැගනහිර,மாகம்மண கிழக்கு,Magammana East,590
39,53,558,1-1-12-265,265,උධුවන,உடுவண,Uduwana,485A
39,54,559,1-1-12-270,270,ප්‍රසන්නපුර,பிரசன்னபுர,Prasannapura,484G
39,55,560,1-1-12-275,275,පිටිපන උතුර,பிட்டிபன வடக்கு,Pitipana North,484
39,56,561,1-1-12-280,280,සුවපුබුදුගම,சுவபுதுகம,Suwapubudugama,484E
39,57,562,1-1-12-285,285,පිටිපන දකුණ,பிட்டிபன தெற்கு,Pitipana South,484A
39,58,563,1-1-12-290,290,දොළහේන,தொல‍ஹன,Dolahena,484C
39,59,564,1-1-12-295,295,දියගම නැගෙනහිර,தியகம கிழக்கு,Diyagama East,589
39,60,565,1-1-12-300,300,දියගම බටහිර,தியகம ‍‍மேற்கு,Diyagama West,589A
39,61,566,1-1-12-305,305,කිරිගම්පමුනුව,கிரிகம்பமுணுவ,Kirigampamunuwa,588
39,62,567,1-1-12-310,310,මත්තේගොඩ මධ්‍යම බී,மத்திய மத்தேகொட ' B ',Mattegoda Central B,587B
39,63,568,1-1-12-315,315,සියබලාගොඩ උතුර,சியம்பலாகொட வடக்கு,Siyambalagoda North,592
39,64,569,1-1-12-320,320,කුඩමාදුව,குடாமடுவ,Kudamaduwa,591A
39,65,570,1-1-12-325,325,සංඝාරාම,சங்கஹராம,Sangarama,591D
39,66,571,1-1-12-330,330,සියඔලාගොඩ දකුණ,சியம்பலாகொட தெற்கு,Siyambalagoda South,592A
39,67,572,1-1-12-335,335,රිලාවල,ரிலாவல,Rilawala,593A
39,68,573,1-1-12-340,340,කහතුඩුව බටහිර,கஹதுடுவ,Kahathuduwa West,602B
39,69,574,1-1-12-345,345,කිරිවත්තුඩුව දකුණ,கிரிவத்துடுவ தெற்கு,Kiriwattuduwa South,603A
39,70,575,1-1-12-350,350,කිරිවත්තුඩුව උතුර,கிரிவத்துடுவ வடக்கு,Kiriwattuduwa North,603
39,71,576,1-1-12-355,355,මූණමලේ-යකහලුව,மூணம‍லே-யக்காஹலுவ,Moonamale-Yakahaluwa,603C
39,72,577,1-1-12-360,360,කිතුලවිල,கிதுலவில,Kithulavila,603B
39,73,578,1-1-12-365,365,කහතුඩුව උතුර,கஹதுடுவ வடக்கு,Kahathuduwa North,602
39,74,579,1-1-12-370,370,කහතුඩුව නැගෙනහිර,கஹதுடுவ கிழக்கு,Kahathuduwa East,602C
39,75,580,1-1-12-375,375,කහතුඩුව දකුණ,கஹதுடுவ தெற்கு,Kahathuduwa South,602A
39,76,581,1-1-12-380,380,උන්දුරුගොඩ,உந்துருகொட,Undurugoda,600
39,77,582,1-1-12-385,385,වෑතර,‍‍வேதரா,Wethara,593
39,78,583,1-1-12-390,390,අම්බලන්ගොඩ,அம்பலாந்தொடை,Ambalangoda,594
39,79,584,1-1-12-395,395,හෙරලියාවල,ஹெரலியவல,Heraliyawala,595
